Business LIcense,Violation Date,Violation,Inspector Comments
10FOOD-0009,04/06/2017,(23) FOOD EQUIPMENT AND UTENSILS: Non-food contact surfaces of equipment and utensils: clean.,1. Shelf holding dishes has dust buildup. Clean. 2. Shelf under hot warmer has grease buildup. Clean.
09FOOD-0092,04/06/2017,"(8) CROSS CONTAMINATION: Food protection during storage, preparation, display, service and transportation",Plate of cheese stored above prep cooler line (holding 55F). Store food below the cooler line in order to ensure it maintains 41F or below.
10FOOD-0009,04/06/2017,"(36) FLOORS, WALLS AND CEILINGS: Floors; constructed, drained, clean, good repair, coving installation; dustless cleaning methods.",Floors have food debris. Clean floors.
09FOOD-0092,04/06/2017,(5) FOOD PROTECTION: Thermometers provided and conspicuous,Cooler missing a thermometer. Provide a thermometer for each cooler in order to monitor temperature on a daily basis.
09FOOD-0338,04/10/2017,(5) FOOD PROTECTION: Thermometers provided and conspicuous,Thermometer is missing from the prep cooler located next to the 3 compartment sink. Provide a thermometer.
09FOOD-0338,04/10/2017,(2) FOOD: Original Container; properly labeled.,A few items are not labeled. Ensure food items (such as flour) and spray bottles are clearly labeled.
14FOOD-0005,04/10/2017,"(22) FOOD EQUIPMENT AND UTENSILS: Food contact surfaces of equipment and utensils: clean, free of abrasives and detergents.",The sides of the fryer on the service line are soiled. Routinely clean all surfaces. The sides of the fryer and oven in the kitchen are soiled. Routinely clean all surfaces.
14FOOD-0005,04/10/2017,"(36) FLOORS, WALLS AND CEILINGS: Floors; constructed, drained, clean, good repair, coving installation; dustless cleaning methods.",The floor drain for the ice machines is soiled. Clean the floor drain.
09FOOD-0338,04/10/2017,(23) FOOD EQUIPMENT AND UTENSILS: Non-food contact surfaces of equipment and utensils: clean.,Electric cords located near the dish rack have dust buildup. Clean.
14FOOD-0005,04/10/2017,"(15) FOOD EQUIPMENT AND UTENSILS: Non-food contact surfaces: designed, constructed, maintained, installed, located.",The gaskets on the cooler next to the hand sink on the service line are in disrepair. Replace the gaskets.
09FOOD-0338,04/10/2017,(45) OTHER OPERATIONS: CERTIFIED FOOD HANDLER.,CRITICAL VIOLATION.
09FOOD-0249,04/11/2017,"(8) CROSS CONTAMINATION: Food protection during storage, preparation, display, service and transportation",1. Food containers stored on the floor in the walk in cooler. Ensure foods are stored at least 6 inches above the floor. 2. Multiple food containers are stored without a cover. Provide a cover. 3. Raw fish stored directly on the cooler rack. Store fish in a cleanable container.
09FOOD-0249,04/11/2017,"(36) FLOORS, WALLS AND CEILINGS: Floors; constructed, drained, clean, good repair, coving installation; dustless cleaning methods.",Walls and floors near the dish machine are soiled with food debris or splatter. Clean surfaces.
09FOOD-0249,04/11/2017,"(21) FOOD EQUIPMENT AND UTENSILS: Wiping cloths: clean, use restricted",Wiping cloths sanitizer: Chlorine 0ppm. Refresh sanitizer solution every 4 hours. Concentration must be 50-100ppm.
09FOOD-0187,04/11/2017,"(37) FLOORS, WALLS AND CEILINGS: Walls, ceilings, equipment attached: constructed, good repair, clean surfaces; dustless cleaning methods.",The paint on the exhaust hood above the dish machine is in disrepair. Scrap and repaint.
09FOOD-0249,04/11/2017,"(22) FOOD EQUIPMENT AND UTENSILS: Food contact surfaces of equipment and utensils: clean, free of abrasives and detergents.",1. Food prep sink is soiled. Discard the lettuce that is in the prep sink. Wash |  rinse and sanitize the surface of the sink before allowing food contact. 2. Ice machine has pink slim buildup. Clean and sanitize.
09FOOD-0249,04/11/2017,"(35) INSECT, RODENT, ANIMAL CONTROL: Presence of insects/rodents; outer openings protected; no birds, turtles, other animals.",CRITICAL VIOLATION. Fruit flies present near the dish machine and 3 compartment sink. Clean surfaces around the area. Keep area as dry as possible. Most recent pest control inspection was conducted by Anderson on 3/28/2017. Follow actions listed by Anderson Pest Control.
09FOOD-0216,04/11/2017,"(8) CROSS CONTAMINATION: Food protection during storage, preparation, display, service and transportation",Shrimp stored above prep cooler line. Stored below prep cooler line in order to maintain 41F or below.
09FOOD-0187,04/11/2017,"(15) FOOD EQUIPMENT AND UTENSILS: Non-food contact surfaces: designed, constructed, maintained, installed, located.",The shelves in the lower cabinets are in disrepair. Resurface the shelves.
09FOOD-0216,04/11/2017,(23) FOOD EQUIPMENT AND UTENSILS: Non-food contact surfaces of equipment and utensils: clean.,Food debris on top of dish machine. Clean.
15FOOD-0007,04/12/2017,"(37) FLOORS, WALLS AND CEILINGS: Walls, ceilings, equipment attached: constructed, good repair, clean surfaces; dustless cleaning methods.",The wall under the 3-compartment sink is soiled. Routinely clean the walls.
16FOOD-0003,04/12/2017,"(32) TOILET AND HAND WASHING FACILITIES: Toilet rooms enclosed, self-closing doors. Fixtures: good repair, clean; hand cleanser, sanitary towels/hand drying devices provided; proper waste receptables; tissue.",Soap was missing from 2 hand wash sinks. Ensure soap is always easily available at all hand wash sinks.
16FOOD-0003,04/12/2017,"(8) CROSS CONTAMINATION: Food protection during storage, preparation, display, service and transportation",The toppings for the omelette station does not have a sneeze guard. Provide a sneeze guard in order to protect food from possible contaminates.
16FOOD-0003,04/12/2017,"(24) FOOD EQUIPMENT AND UTENSILS: Storage, handling of clean equipment, utensils.",A tray of dirty glasses were stored above clean plates. Stored clean plates and equipment separate from dirty dishes.
15FOOD-0007,04/12/2017,"(15) FOOD EQUIPMENT AND UTENSILS: Non-food contact surfaces: designed, constructed, maintained, installed, located.",Plastic bins for clean dishes neat the dish machine are damaged. Replace the bins. The caulk for the 3-compartment sink is in disrepair. Remove and reseal.
09FOOD-0367,04/12/2017,"(16) FOOD EQUIPMENT AND UTENSILS: Dishwashing facilities: designed, constructed, maintained, installed, located.",Inside surface of the 3 compartment sink is heavily soiled. Wash |  rinse and sanitize the surface on a regular basis.
09FOOD-0367,04/12/2017,"(8) CROSS CONTAMINATION: Food protection during storage, preparation, display, service and transportation",Pickles stored uncovered and next to eggs. Cover the container and separate from the eggs to protect from cross contamination.
09FOOD-0367,04/12/2017,"(21) FOOD EQUIPMENT AND UTENSILS: Wiping cloths: clean, use restricted",Quaternary ammonia 0ppm. Replenish sanitizer at least every 4 hours to ensure 100-200ppm of quat.
15FOOD-0007,04/12/2017,"(16) FOOD EQUIPMENT AND UTENSILS: Dishwashing facilities: designed, constructed, maintained, installed, located.",There is a gap between basins of the 3-compartment sink that is leaking water. Seal the gap.
16FOOD-0012,04/13/2017,"(16) FOOD EQUIPMENT AND UTENSILS: Dishwashing facilities: designed, constructed, maintained, installed, located.",Surface of 3 compartment sink is soiled. Wash |  rinse and sanitize the surface of the sink.
16FOOD-0012,04/13/2017,"(22) FOOD EQUIPMENT AND UTENSILS: Food contact surfaces of equipment and utensils: clean, free of abrasives and detergents.",Pink slim buildup in ice machine. Clean and sanitize interior surfaces.
16FOOD-0012,04/13/2017,(2) FOOD: Original Container; properly labeled.,Spray bottle is not labeled. Provide a label.
12FOOD-0001,04/13/2017,"(36) FLOORS, WALLS AND CEILINGS: Floors; constructed, drained, clean, good repair, coving installation; dustless cleaning methods.",1. Floor tiles are in disrepair. Replace broken tiles to make the floor smooth and easily cleanable. 2. Floors have food debris. Clean.
12FOOD-0001,04/13/2017,"(35) INSECT, RODENT, ANIMAL CONTROL: Presence of insects/rodents; outer openings protected; no birds, turtles, other animals.",CRITICAL VIOLATION. Kitchen window was open and unprotected from potential pests. A proper screen must be provided if the window is kept open.
12FOOD-0001,04/13/2017,"(19) FOOD EQUIPMENT AND UTENSILS: Wash, rinse water: clean, proper temperature",Detergent suds are mixing with the sanitizer rinse. Rinse liquid lines to ensure the correct liquid is dispensing.
12FOOD-0001,04/13/2017,(23) FOOD EQUIPMENT AND UTENSILS: Non-food contact surfaces of equipment and utensils: clean.,Multiple surfaces have food debris. Clean.
12FOOD-0001,04/13/2017,"(8) CROSS CONTAMINATION: Food protection during storage, preparation, display, service and transportation",Crepes stored in the cooler were covered with a soiled cloth. Discontinue this practice. Cover crepes with a clean lid or wrap.
09FOOD-0285,04/14/2017,"(42) OTHER OPERATIONS: Premises; maintained; free of litter, unnecessary articles; cleaning and maintenance equipment properly stored; authorized personnel.",Mop improperly stored on the floor. Hang the mop or store in a way that allows the mop head to quickly dry.
08FOOD-0189,04/14/2017,"(3) FOOD PROTECTION: Potentially hazardous food meets temperature and date marking requirements during storage, preparation, display, service and transportation",CRITICAL VIOLATION. Prepared food items stored in the walk in cooler are not labeled with a date. Mark prepared foods with a date to ensure food is consumed or discarded within 7 days.
08FOOD-0189,04/14/2017,"(32) TOILET AND HAND WASHING FACILITIES: Toilet rooms enclosed, self-closing doors. Fixtures: good repair, clean; hand cleanser, sanitary towels/hand drying devices provided; proper waste receptables; tissue.",Hand sink nozzles are soiled. Clean.
08FOOD-0189,04/14/2017,(45) OTHER OPERATIONS: CERTIFIED FOOD HANDLER.,CRITICAL VIOLATION.
09FOOD-0247,04/14/2017,"(21) FOOD EQUIPMENT AND UTENSILS: Wiping cloths: clean, use restricted",Wiping cloths are stored on prep counters next to food. Store wiping cloths in a sanitizer solution between use.
08FOOD-0189,04/14/2017,"(8) CROSS CONTAMINATION: Food protection during storage, preparation, display, service and transportation",1. Multiple food containers are stored without a cover. Provide a cover for foods placed in storage. 2. Food containers found stored on the floor. Store all food containers at least 6 inches above the floor.
09FOOD-0344,04/14/2017,"(19) FOOD EQUIPMENT AND UTENSILS: Wash, rinse water: clean, proper temperature",3 compartment sink is not properly arranged. Ensure wash and rinse compartments are clean.
09FOOD-0344,04/14/2017,"(20) FOOD EQUIPMENT AND UTENSILS: Sanitization rinse: clean, temperature, concentration.",CRITICAL VIOLATION. Chlorine 0ppm. Dish machine is not providing proper sanitization. Have machine serviced. Do not use until it is providing 50-100ppm of chlorine.
09FOOD-0344,04/14/2017,"(8) CROSS CONTAMINATION: Food protection during storage, preparation, display, service and transportation",Food containers are stored without a cover (such as flour in the basement). Provide a cover for all food items.
08FOOD-0189,04/14/2017,(23) FOOD EQUIPMENT AND UTENSILS: Non-food contact surfaces of equipment and utensils: clean.,Multiple surfaces and shelves are soiled and have food debris. Clean shelves and surfaces.
09FOOD-0285,04/14/2017,"(8) CROSS CONTAMINATION: Food protection during storage, preparation, display, service and transportation",Shells eggs stored above ready to eat foods in the cooler. Store raw items below RTE foods.
09FOOD-0247,04/14/2017,"(32) TOILET AND HAND WASHING FACILITIES: Toilet rooms enclosed, self-closing doors. Fixtures: good repair, clean; hand cleanser, sanitary towels/hand drying devices provided; proper waste receptables; tissue.",1. Paper towels missing from woman's bathroom. Provide paper towels. 2. Sink nozzle is no properly attached. Repair nozzle to ensure easy use of hand wash sink.
08FOOD-0189,04/14/2017,"(37) FLOORS, WALLS AND CEILINGS: Walls, ceilings, equipment attached: constructed, good repair, clean surfaces; dustless cleaning methods.",Grill hood have heavy grease and dust buildup. Have hood cleaned. Increase frequency of hood cleanings in order to prevent buildup from occurring.
09FOOD-0247,04/14/2017,"(8) CROSS CONTAMINATION: Food protection during storage, preparation, display, service and transportation",1. Raw food (chicken and salmon) stored above ready to eat food items. Store raw foods on the bottoms shelves separate from RTE foods. 2. Bag of flour stored on the floor. Ensure food is always stored at least 6inches above the floor.
09FOOD-0247,04/14/2017,"(16) FOOD EQUIPMENT AND UTENSILS: Dishwashing facilities: designed, constructed, maintained, installed, located.",Interior surface of the 3 compartment sink is soiled. Wash |  rinse and sanitize the surface before using the sinks for dish washing.
08FOOD-0189,04/14/2017,"(21) FOOD EQUIPMENT AND UTENSILS: Wiping cloths: clean, use restricted",Soiled wiping cloths stored next to food in the walk-in cooler. Remove wiping cloths from cooler. Store wiping cloths in a sanitizer solution between use.
08FOOD-0189,04/14/2017,"(36) FLOORS, WALLS AND CEILINGS: Floors; constructed, drained, clean, good repair, coving installation; dustless cleaning methods.",Floor and floor matts have heavy |  food debris buildup. Clean floors. Replace or clean floor matts.
09FOOD-0285,04/14/2017,(45) OTHER OPERATIONS: CERTIFIED FOOD HANDLER.,CRITICAL VIOLATION. No FSSMC.
09FOOD-0344,04/14/2017,"(21) FOOD EQUIPMENT AND UTENSILS: Wiping cloths: clean, use restricted",Soiled wiping cloths found on counters. Store wiping cloths in a sanitizer solution between use.
09FOOD-0344,04/14/2017,"(42) OTHER OPERATIONS: Premises; maintained; free of litter, unnecessary articles; cleaning and maintenance equipment properly stored; authorized personnel.",Unnecessary items are stored on premise. Continue to remove these items in order to allow proper cleaning and pest prevention.
09FOOD-0344,04/14/2017,(23) FOOD EQUIPMENT AND UTENSILS: Non-food contact surfaces of equipment and utensils: clean.,1. Grease and food debris buildup on and near fryer equipment. Clean. 2. Multiple surfaces contain food debris. Clean.
09FOOD-0358,04/17/2017,"(24) FOOD EQUIPMENT AND UTENSILS: Storage, handling of clean equipment, utensils.",Knives are being improperly stored between counter tops. This area is unable to be cleaned. Store the knives in another location.
13FOOD-0009,04/17/2017,"(32) TOILET AND HAND WASHING FACILITIES: Toilet rooms enclosed, self-closing doors. Fixtures: good repair, clean; hand cleanser, sanitary towels/hand drying devices provided; proper waste receptables; tissue.",Paper towels missing from the bathroom. Provide paper towels.
13FOOD-0009,04/17/2017,(23) FOOD EQUIPMENT AND UTENSILS: Non-food contact surfaces of equipment and utensils: clean.,Multiple surfaces (such as pipes located under dish machine and food containers in the basement) are soiled with food splatter or buildup. Clean.
09FOOD-0358,04/17/2017,"(42) OTHER OPERATIONS: Premises; maintained; free of litter, unnecessary articles; cleaning and maintenance equipment properly stored; authorized personnel.",Multiple shelves throughout the kitchen are becoming cluttered. Organize all the shelves and and discard things that are not needed.
13FOOD-0009,04/17/2017,(5) FOOD PROTECTION: Thermometers provided and conspicuous,Thermometers missing from coolers. Provide a thermometer inside each cooler and place in an easy to find location.
09FOOD-0358,04/17/2017,"(36) FLOORS, WALLS AND CEILINGS: Floors; constructed, drained, clean, good repair, coving installation; dustless cleaning methods.",The floors under cooking equipment |  prep tables |  and coolers are soiled. Routinely clean all floors.
09FOOD-0358,04/17/2017,(23) FOOD EQUIPMENT AND UTENSILS: Non-food contact surfaces of equipment and utensils: clean.,Shelving units or soiled with grease. Routinely clean all surfaces.
09FOOD-0132,04/17/2017,"(3) FOOD PROTECTION: Potentially hazardous food meets temperature and date marking requirements during storage, preparation, display, service and transportation",CRITICAL VIOLATION. Display case is 50F. Sushi recently prepared was moved to a working cooler. Have cooler serviced. Cooler must maintain 41F or below.
13FOOD-0009,04/17/2017,"(36) FLOORS, WALLS AND CEILINGS: Floors; constructed, drained, clean, good repair, coving installation; dustless cleaning methods.",Floor drain under bar and under dish machine are soiled. Thoroughly clean the drains.
13FOOD-0009,04/17/2017,(45) OTHER OPERATIONS: CERTIFIED FOOD HANDLER.,CRITICAL VIOLATION.
09FOOD-0358,04/17/2017,"(37) FLOORS, WALLS AND CEILINGS: Walls, ceilings, equipment attached: constructed, good repair, clean surfaces; dustless cleaning methods.",The wall under the 3-compartment sink in the basement is damaged. Repair the damage.
09FOOD-0358,04/17/2017,"(15) FOOD EQUIPMENT AND UTENSILS: Non-food contact surfaces: designed, constructed, maintained, installed, located.",The shelf panels near the register are in disrepair. Repair the damage. The stool near the register is in disrepair. Remove the stool.
09FOOD-0329,04/17/2017,"(37) FLOORS, WALLS AND CEILINGS: Walls, ceilings, equipment attached: constructed, good repair, clean surfaces; dustless cleaning methods.",Observed soiled/deteriorated wall behind three compartment sink in butcher room meat department. Please replace the FRP white board behind the 3 comp sink.
09FOOD-0329,04/17/2017,(23) FOOD EQUIPMENT AND UTENSILS: Non-food contact surfaces of equipment and utensils: clean.,The 3 compartment sink located in cheese room is soiled. Clean and sanitize the surface of the sinks.
13FOOD-0009,04/17/2017,"(35) INSECT, RODENT, ANIMAL CONTROL: Presence of insects/rodents; outer openings protected; no birds, turtles, other animals.",CRITICAL VIOLATION. Large number a fruit flies under dish machine and under the bar. Clean area and have a certified pest control company treat the area. Drains must be cleaned. A reinspection will be conducted in 1 week.
09FOOD-0358,04/17/2017,"(22) FOOD EQUIPMENT AND UTENSILS: Food contact surfaces of equipment and utensils: clean, free of abrasives and detergents.",The sides of all the cooking equipment are soiled. Clean the equipment every night.
09FOOD-0358,04/17/2017,"(35) INSECT, RODENT, ANIMAL CONTROL: Presence of insects/rodents; outer openings protected; no birds, turtles, other animals.",CRITICAL VIOLATION. Live roaches were observed in the kitchen. Increase the pest control frequency to twice a a month. Thoroughly clean the kitchen every night.
09FOOD-0329,04/17/2017,(2) FOOD: Original Container; properly labeled.,Bulk container and spray bottle unlabeled. Provide a label for these items.
13FOOD-0009,04/17/2017,"(21) FOOD EQUIPMENT AND UTENSILS: Wiping cloths: clean, use restricted",Soiled wiping cloths stored on counter tops. Store wiping cloths in a sanitizer solution between use.
09FOOD-0358,04/17/2017,"(31) TOILET AND HAND WASHING FACILITIES: Number, convenient, accessible, designed, installed.",CRITICAL VIOLATION. Pasta was being drained in a kitchen hand sink. Hands sinks are only for washing hands. Utensils were being stored in a kitchen hand sink. Hand sinks must be accessible at all times.
09FOOD-0358,04/17/2017,(10) CROSS CONTAMINATION: Food (ice) dispensing utensils properly stored.,The ice scoop near the register is being stored with the handle in the ice. Do not allow the handle to contact the ice.
09FOOD-0358,04/17/2017,"(8) CROSS CONTAMINATION: Food protection during storage, preparation, display, service and transportation",Containers of food are not covered. Cover food to prevent contamination of debris.
09FOOD-0214,04/18/2017,"(36) FLOORS, WALLS AND CEILINGS: Floors; constructed, drained, clean, good repair, coving installation; dustless cleaning methods.",Observed floor tiling at 3comp sink missing. Please repair cracked and missing tile pieces.
14FOOD-0016,04/18/2017,"(32) TOILET AND HAND WASHING FACILITIES: Toilet rooms enclosed, self-closing doors. Fixtures: good repair, clean; hand cleanser, sanitary towels/hand drying devices provided; proper waste receptables; tissue.",1. Paper towels missing from hand wash sink. Paper towels were immediately provided. 2. Nozzles for the hand wash sink are soiled. Clean.
09FOOD-0245,04/18/2017,"(19) FOOD EQUIPMENT AND UTENSILS: Wash, rinse water: clean, proper temperature",Detergent bucket for dish machine was empty. Bucket was replaced with a new bucket. Monitor detergent levels on a daily basis to ensure adequate cleaning.
14FOOD-0016,04/18/2017,"(19) FOOD EQUIPMENT AND UTENSILS: Wash, rinse water: clean, proper temperature",All 3 compartments of the 3 compartment sink are soiled with food debris and buildup. The sink must be arranged as 1. Wash (soap and clean water)2. Rinse (clean water)3. Sanitize (bleach or quat and clean water)
14FOOD-0016,04/18/2017,"(21) FOOD EQUIPMENT AND UTENSILS: Wiping cloths: clean, use restricted",Quaternary ammonia 100ppm. Soiled wiping cloths stored on counters. Wiping cloths must be stored in a sanitizer solution between use.
14FOOD-0016,04/18/2017,"(29) PLUMBING: Installed, maintained",3 compartment sink faucet is leaking. Have faucet repaired.
09FOOD-0214,04/18/2017,"(21) FOOD EQUIPMENT AND UTENSILS: Wiping cloths: clean, use restricted",Quaternary ammonia / Chlorine / IodineObserved wiping cloths on cutting boards and prep areas. Please store wiping cloths in sanitizing solution when not in use.
09FOOD-0245,04/18/2017,"(8) CROSS CONTAMINATION: Food protection during storage, preparation, display, service and transportation",Food containers placed in storage without a lid or cover. Ensure all food containers are covered while in storage.
14FOOD-0016,04/18/2017,"(20) FOOD EQUIPMENT AND UTENSILS: Sanitization rinse: clean, temperature, concentration.",CRITICAL VIOLATION. Chlorine 0ppm. Dish machine does not have a sanitizer. Do NOT use the dish machine until it is repaired. The dish machine must be repaired or removed from the facility. It must provide 50-100ppm chlorine or 180F rinse cycle.
14FOOD-0016,04/18/2017,(23) FOOD EQUIPMENT AND UTENSILS: Non-food contact surfaces of equipment and utensils: clean.,Multiple surfaces are soiled with oil or food debris (including surface of 3 compartment sink). Clean surfaces.
14FOOD-0016,04/18/2017,"(24) FOOD EQUIPMENT AND UTENSILS: Storage, handling of clean equipment, utensils.",Food debris is found on racks and containers holding clean dishes. Clean area. Dish must be stored in a clean area.
15FOOD-0011,04/14/2017,(5) FOOD PROTECTION: Thermometers provided and conspicuous,Observed missing thermometer in cooler. Please provide a thermometer
09FOOD-0020,04/18/2017,"(22) FOOD EQUIPMENT AND UTENSILS: Food contact surfaces of equipment and utensils: clean, free of abrasives and detergents.",The surface under the grill is soiled. Routinely clean all surfaces.
09FOOD-0214,04/18/2017,"(37) FLOORS, WALLS AND CEILINGS: Walls, ceilings, equipment attached: constructed, good repair, clean surfaces; dustless cleaning methods.",Observed some missing tiles behind dish machine. Please install tile as far behind dish machine as can be reached.
09FOOD-0020,04/18/2017,"(41) OTHER OPERATIONS: Toxic items properly stored, labeled and used.",CRITICAL VIOLATION. Hot Shot No Pest Strips are being used in the kitchen. The product is intended to be used in attics |  sheds |  etc. It is not allowed in a food establishment. The items were removed.
09FOOD-0245,04/18/2017,"(29) PLUMBING: Installed, maintained",Mop sink faucet is leaking. Have leak repaired.
14FOOD-0016,04/18/2017,"(8) CROSS CONTAMINATION: Food protection during storage, preparation, display, service and transportation",Onions and potatoes stored in the unfinished basement. Store items upstairs. Do not store food items in the basement.
09FOOD-0020,04/18/2017,(4) FOOD PROTECTION: Facilities to maintain product temperature.,CRITICAL VIOLATION. The drawer cooler opposite the flat top grill is holding a temperature of 50 F. Do not store PHF in the cooler until it has been repaired.
14FOOD-0016,04/18/2017,"(36) FLOORS, WALLS AND CEILINGS: Floors; constructed, drained, clean, good repair, coving installation; dustless cleaning methods.",Floors and walls are soiled with food debris and splatter. Clean surfaces.
14FOOD-0016,04/18/2017,"(37) FLOORS, WALLS AND CEILINGS: Walls, ceilings, equipment attached: constructed, good repair, clean surfaces; dustless cleaning methods.",1. Ceilings have dust buildup. Clean. 2. Ceiling tiles missing. Provide new tiles.
09FOOD-0020,04/18/2017,"(36) FLOORS, WALLS AND CEILINGS: Floors; constructed, drained, clean, good repair, coving installation; dustless cleaning methods.",The floor drain underneath the coffee station is soiled. The floor drain under the 2-compartment prep sink is soiled. Routinely clean all floor drains.
14FOOD-0016,04/18/2017,"(3) FOOD PROTECTION: Potentially hazardous food meets temperature and date marking requirements during storage, preparation, display, service and transportation",CRITICAL VIOLATION. 1. Food items stored in warmer at 111F. Warm foods must be held at 135F or above. Reheat to an internal temperature of 165F or above or discard items. 2. Food stored in top section of prep cooler are 46-50F. Have cooler service. The cooler must hold foods at 41F or below.
16FOOD-0006,04/19/2017,"(21) FOOD EQUIPMENT AND UTENSILS: Wiping cloths: clean, use restricted",Quaternary ammonia / Chlorine / IodineObserved wiping cloths on cutting boards and tables. Please make up sanitizing buckets and store cloths in sanitizer when not in use.
09FOOD-0320,04/19/2017,"(3) FOOD PROTECTION: Potentially hazardous food meets temperature and date marking requirements during storage, preparation, display, service and transportation",CRITICAL VIOLATION. Prep cooler was holding foods at 44-49F. Discontinue use of the prep cooler until it is repaired or replaced. Food must be held at 41F or below.
13FOOD-0060,04/19/2017,"(20) FOOD EQUIPMENT AND UTENSILS: Sanitization rinse: clean, temperature, concentration.",CRITICAL VIOLATION. Chlorine 0ppmThe front dish machine is not currently dispensing the sanitizer. Have the machine primed. Final rinse must provide 50ppm of chlorine.
16FOOD-0006,04/19/2017,"(14) FOOD EQUIPMENT AND UTENSILS: Food (ice) contact surfaces: designed, constructed, maintained, installed, located.",Observed prep table cutting board between walk ins to be soiled and deep groves. Please resurface or replace cutting board.
16FOOD-0006,04/19/2017,"(36) FLOORS, WALLS AND CEILINGS: Floors; constructed, drained, clean, good repair, coving installation; dustless cleaning methods.",Observed accumulation of seeds and other scraps under prep tables and in corners. Please be sure hard to reach areas are cleaned
09FOOD-0320,04/19/2017,"(8) CROSS CONTAMINATION: Food protection during storage, preparation, display, service and transportation",Food containers are stored on the floor in the walk in cooler. Store all foods at least 6 inches above the floor.
09FOOD-0320,04/19/2017,(2) FOOD: Original Container; properly labeled.,Bulk food items (sugar and flour) are not labeled. Provide a label.
14FOOD-0026,04/20/2017,"(22) FOOD EQUIPMENT AND UTENSILS: Food contact surfaces of equipment and utensils: clean, free of abrasives and detergents.",A soiled knife is stored on the magnet knife rack. Wash and sanitize the knife before using or placing in clean storage.
10FOOD-0050,04/20/2017,(5) FOOD PROTECTION: Thermometers provided and conspicuous,A thermometer is missing from a few of the coolers. Ensure each cooler has a thermometer stored inside and in an easy to find location.
14FOOD-0026,04/20/2017,"(8) CROSS CONTAMINATION: Food protection during storage, preparation, display, service and transportation",1. Shell eggs stored above ready to eat items (cucumbers). Store eggs below RTE items in order to prevent cross contamination. 2. Bucket of rice vinegar stored in the basement without a lid. Provide a cover for the vinegar.
15FOOD-0005,04/24/2017,"(22) FOOD EQUIPMENT AND UTENSILS: Food contact surfaces of equipment and utensils: clean, free of abrasives and detergents.",The baffle filters above the deep fryer in the deli kitchen are heavily soiled. Routinely clean the filters.
15FOOD-0005,04/24/2017,"(37) FLOORS, WALLS AND CEILINGS: Walls, ceilings, equipment attached: constructed, good repair, clean surfaces; dustless cleaning methods.",The ceiling tiles around the ceiling cents in the bakery kitchen are soiled routinely clean the ceiling tiles.
15FOOD-0005,04/24/2017,"(3) FOOD PROTECTION: Potentially hazardous food meets temperature and date marking requirements during storage, preparation, display, service and transportation",CRITICAL VIOLATION. The chicken in the hot hold island is holding at 110 F. The chicken is being reheated to a temperature of 165 F.
14FOOD-0035,04/24/2017,"(21) FOOD EQUIPMENT AND UTENSILS: Wiping cloths: clean, use restricted",Quaternary ammonia / Chlorine / IodineObserved wiping cloths on cutting boards in kitchen. Please remind workers that wiping cloths must be stored in sanitizer when not in use.
14FOOD-0035,04/24/2017,(5) FOOD PROTECTION: Thermometers provided and conspicuous,Observed missing thermometers in small coolers in basement as well as a dusty thermometer in the smaller white  walk in cooler in basement. Please replace and provide conspicuous thermometers for all coolers.
09FOOD-0151,04/21/2017,"(21) FOOD EQUIPMENT AND UTENSILS: Wiping cloths: clean, use restricted",observed wiping cloths on cutting boards.  Please store wiping cloths in sanitizer when not in use
09FOOD-0151,04/21/2017,"(36) FLOORS, WALLS AND CEILINGS: Floors; constructed, drained, clean, good repair, coving installation; dustless cleaning methods.",please clean floors in hard to reach areas such as under tables and cooling units and shelving.
09FOOD-0121,04/24/2017,(5) FOOD PROTECTION: Thermometers provided and conspicuous,Thermometer in deli cooler broken. Replace with a working thermometer.
15FOOD-0005,04/24/2017,(4) FOOD PROTECTION: Facilities to maintain product temperature.,CRITICAL VIOLATION. The hot hold island for the chicken is not holding PHF at the proper temperature. The thermostat was accidentally turned down. It has been turned back up to the normal setting. Do not store PHF in it until it can hold it at 135 F or above.
15FOOD-0005,04/24/2017,"(31) TOILET AND HAND WASHING FACILITIES: Number, convenient, accessible, designed, installed.",CRITICAL VIOLATION. Various metered hand sinks do not stay on long enough to properly wash hands. They should stay on for a minimum of 20 seconds. Repair the metered hand sinks.
09FOOD-0121,04/24/2017,(23) FOOD EQUIPMENT AND UTENSILS: Non-food contact surfaces of equipment and utensils: clean.,Food debris on shelving units in the deli. Clean.
15FOOD-0018,04/24/2017,(5) FOOD PROTECTION: Thermometers provided and conspicuous,Observed missing thermometers in coolers. Please replace and provide conspicuous thermometers for all coolers.
15FOOD-0005,04/24/2017,"(36) FLOORS, WALLS AND CEILINGS: Floors; constructed, drained, clean, good repair, coving installation; dustless cleaning methods.",There is a spill on the floor under the shelving in the deli walk in cooler. Immediately clean up spills. The floor drain under the prep sink in the bakery kitchen is soiled. Routinely clean all floor drains.
15FOOD-0018,04/24/2017,"(8) CROSS CONTAMINATION: Food protection during storage, preparation, display, service and transportation",In basement walk in cooler observed eggs stored above cabbage. Please move/store eggs on lowest shelf to prevent possible breakage and contamination of foods below.
09FOOD-0121,04/24/2017,"(3) FOOD PROTECTION: Potentially hazardous food meets temperature and date marking requirements during storage, preparation, display, service and transportation",CRITICAL VIOLATION. Deli cooler is not holding food at 41F or below. Items were removed from the case. Have cooler serviced to maintain 41F or below. Chicken held at 111-125F. Reheat items to 165F or above. Must hold items at 135F or above.
